Temp,Occupants,Hours,Weekend,Devices,DayOfYear,EnergyConsumption
16.66,263.0,8.88,0.0,493.0,1.0,1893.41
14.93,457.0,8.15,0.0,865.0,2.0,2975.86
17.46,320.0,8.43,0.0,654.0,3.0,2404.5
20.26,497.0,9.36,0.0,824.0,4.0,3172.02
15.16,253.0,11.21,0.0,554.0,5.0,2618.53
15.33,44.0,3.74,1.0,73.0,6.0,1275.51
20.94,14.0,0.21,1.0,25.0,7.0,847.37
18.68,442.0,9.17,0.0,885.0,8.0,2396.17
15.13,217.0,11.73,0.0,498.0,9.0,2448.81
18.34,386.0,9.59,0.0,864.0,10.0,2914.82
15.49,343.0,8.35,0.0,735.0,11.0,2593.04
15.65,461.0,10.47,0.0,763.0,12.0,3754.76
17.95,18.0,1.36,1.0,36.0,13.0,1351.0
11.65,2.0,3.26,1.0,3.0,14.0,1249.17
12.38,275.0,10.03,0.0,516.0,15.0,2314.17
16.03,387.0,11.5,0.0,740.0,16.0,3450.8
14.85,445.0,9.97,0.0,685.0,17.0,3783.34
18.99,329.0,10.81,0.0,583.0,18.0,3235.57
15.49,482.0,11.97,0.0,1183.0,19.0,3967.14
14.14,42.0,2.57,1.0,103.0,20.0,1530.47
22.93,31.0,2.11,1.0,57.0,21.0,832.11
18.02,462.0,9.58,0.0,712.0,22.0,3039.33
19.06,390.0,9.69,0.0,654.0,23.0,3145.35
14.74,262.0,9.64,0.0,495.0,24.0,2417.92
17.54,211.0,11.63,0.0,516.0,25.0,2337.41
19.66,340.0,10.86,0.0,558.0,26.0,2564.96
16.03,8.0,3.49,1.0,18.0,27.0,1437.78
20.76,27.0,0.88,1.0,43.0,28.0,729.46
17.99,216.0,11.3,0.0,535.0,29.0,1977.69
19.06,262.0,11.82,0.0,492.0,30.0,2466.81
18.28,452.0,11.28,0.0,1028.0,31.0,3810.35
25.79,491.0,8.01,0.0,904.0,32.0,2855.87
20.34,207.0,10.55,0.0,440.0,33.0,2305.97
17.35,35.0,1.99,1.0,59.0,34.0,1089.96
23.13,7.0,2.22,1.0,11.0,35.0,720.79
17.15,491.0,8.24,0.0,1197.0,36.0,3056.15
21.57,483.0,10.42,0.0,1167.0,37.0,3501.54
15.21,317.0,10.75,0.0,756.0,38.0,3222.25
17.24,374.0,8.46,0.0,794.0,39.0,2875.32
21.94,275.0,9.54,0.0,634.0,40.0,2628.27
23.7,31.0,0.8,1.0,48.0,41.0,972.2
22.13,16.0,2.72,1.0,29.0,42.0,692.48
21.4,469.0,8.48,0.0,850.0,43.0,2882.77
20.97,270.0,9.68,0.0,576.0,44.0,2485.07
17.56,379.0,11.0,0.0,703.0,45.0,2957.16
19.96,323.0,8.28,0.0,532.0,46.0,2476.36
20.85,492.0,8.32,0.0,1031.0,47.0,3191.95
25.53,6.0,2.91,1.0,13.0,48.0,1365.8
23.5,27.0,2.97,1.0,50.0,49.0,766.58
17.29,427.0,10.67,0.0,696.0,50.0,2646.71
23.67,474.0,10.71,0.0,804.0,51.0,3818.52
21.65,305.0,9.45,0.0,529.0,52.0,2584.07
20.88,220.0,10.37,0.0,395.0,53.0,1974.27
24.85,263.0,8.04,0.0,563.0,54.0,1688.28
26.21,15.0,3.47,1.0,31.0,55.0,1196.16
26.01,22.0,2.31,1.0,48.0,56.0,881.89
20.79,484.0,10.45,0.0,901.0,57.0,3254.39
22.48,347.0,11.49,0.0,806.0,58.0,3444.98
24.49,480.0,10.9,0.0,817.0,59.0,3958.45
26.51,363.0,8.48,0.0,714.0,60.0,3191.36
22.24,423.0,11.61,0.0,973.0,61.0,3423.23
23.2,41.0,1.69,1.0,68.0,62.0,1347.03
20.52,36.0,1.11,1.0,57.0,63.0,641.74
20.33,229.0,8.57,0.0,545.0,64.0,1719.7
26.43,244.0,8.05,0.0,449.0,65.0,1934.35
28.14,474.0,9.69,0.0,1035.0,66.0,3469.33
23.93,233.0,9.18,0.0,355.0,67.0,2352.07
27.22,340.0,9.94,0.0,744.0,68.0,2913.26
25.36,10.0,2.93,1.0,18.0,69.0,1305.11
22.4,15.0,0.53,1.0,23.0,70.0,1160.9
25.48,379.0,8.49,0.0,799.0,71.0,2353.78
29.07,430.0,10.23,0.0,748.0,72.0,3259.02
24.4,237.0,9.37,0.0,447.0,73.0,2437.15
29.26,269.0,10.92,0.0,425.0,74.0,2555.26
16.75,315.0,10.61,0.0,518.0,75.0,3093.32
27.12,29.0,0.72,1.0,52.0,76.0,1204.41
24.96,29.0,3.42,1.0,46.0,77.0,833.03
23.84,208.0,9.72,0.0,501.0,78.0,1729.64
25.05,487.0,10.69,0.0,733.0,79.0,3692.4
18.85,249.0,9.1,0.0,493.0,80.0,2449.34
24.19,204.0,9.23,0.0,331.0,81.0,1949.72
25.94,325.0,11.16,0.0,587.0,82.0,3109.48
29.33,15.0,1.44,1.0,36.0,83.0,1187.71
23.37,16.0,2.37,1.0,26.0,84.0,891.43
22.52,477.0,11.29,0.0,1176.0,85.0,3567.75
23.45,499.0,11.43,0.0,851.0,86.0,3906.0
27.72,489.0,11.67,0.0,1096.0,87.0,4436.16
25.97,276.0,9.72,0.0,564.0,88.0,2695.72
23.4,497.0,9.28,0.0,1185.0,89.0,3604.02
26.54,22.0,1.3,1.0,45.0,90.0,1217.48
25.29,17.0,3.09,1.0,34.0,91.0,1029.67
27.91,294.0,10.4,0.0,498.0,92.0,2567.62
22.89,334.0,10.82,0.0,556.0,93.0,3018.83
24.01,267.0,10.75,0.0,645.0,94.0,2661.17
23.8,346.0,9.5,0.0,632.0,95.0,2741.11
20.58,358.0,8.67,0.0,670.0,96.0,2624.9
25.84,37.0,0.68,1.0,83.0,97.0,1411.85
25.72,2.0,2.08,1.0,3.0,98.0,769.24
24.93,294.0,11.56,0.0,720.0,99.0,2339.17
24.18,380.0,9.38,0.0,850.0,100.0,2992.4
20.61,487.0,8.62,0.0,1021.0,101.0,3160.94
23.57,386.0,8.1,0.0,919.0,102.0,2681.64
23.77,337.0,10.58,0.0,522.0,103.0,2737.35
22.35,27.0,2.83,1.0,47.0,104.0,1154.42
24.24,20.0,0.67,1.0,39.0,105.0,849.37
25.89,472.0,8.29,0.0,815.0,106.0,2799.17
30.29,343.0,9.64,0.0,769.0,107.0,3116.54
25.11,215.0,9.24,0.0,520.0,108.0,2287.69
25.31,444.0,10.71,0.0,854.0,109.0,3413.13
24.26,306.0,10.42,0.0,563.0,110.0,2860.97
18.67,21.0,3.38,1.0,51.0,111.0,1312.1
24.29,9.0,3.22,1.0,17.0,112.0,1059.29
24.49,203.0,11.95,0.0,403.0,113.0,2014.32
31.63,294.0,9.82,0.0,544.0,114.0,2596.06
23.6,408.0,10.75,0.0,983.0,115.0,3176.14
25.01,424.0,8.56,0.0,877.0,116.0,2877.14
23.93,246.0,9.94,0.0,556.0,117.0,2541.28
20.45,22.0,0.23,1.0,50.0,118.0,1173.05
27.31,5.0,2.12,1.0,9.0,119.0,968.46
26.06,398.0,11.86,0.0,769.0,120.0,3145.56
26.09,305.0,9.54,0.0,716.0,121.0,2927.37
20.9,479.0,8.16,0.0,892.0,122.0,3013.33
27.75,459.0,8.12,0.0,1052.0,123.0,3293.03
19.25,307.0,9.55,0.0,749.0,124.0,2693.83
25.12,32.0,1.26,1.0,67.0,125.0,1076.84
29.83,27.0,2.03,1.0,60.0,126.0,1085.99
20.19,370.0,11.02,0.0,852.0,127.0,2890.28
21.37,394.0,9.83,0.0,923.0,128.0,3138.28
23.26,211.0,9.16,0.0,399.0,129.0,2178.79
21.35,394.0,11.6,0.0,611.0,130.0,3292.54
18.1,482.0,8.46,0.0,916.0,131.0,3673.43
22.84,20.0,3.81,1.0,43.0,132.0,1456.92
19.34,31.0,2.56,1.0,60.0,133.0,996.86
23.83,381.0,11.55,0.0,856.0,134.0,2977.94
19.54,229.0,10.41,0.0,425.0,135.0,2523.57
26.83,283.0,11.31,0.0,604.0,136.0,2782.12
19.71,365.0,11.94,0.0,615.0,137.0,3306.86
20.97,483.0,9.15,0.0,1086.0,138.0,3397.65
24.25,47.0,0.56,1.0,96.0,139.0,1270.34
17.99,5.0,0.12,1.0,8.0,140.0,388.28
22.23,465.0,9.54,0.0,833.0,141.0,2988.54
25.34,497.0,9.36,0.0,1117.0,142.0,3436.59
16.47,495.0,10.17,0.0,981.0,143.0,4096.33
21.71,424.0,8.62,0.0,727.0,144.0,3162.85
21.8,241.0,10.21,0.0,594.0,145.0,2244.8
23.22,39.0,0.38,1.0,86.0,146.0,1046.99
17.03,12.0,2.69,1.0,29.0,147.0,689.33
16.63,436.0,11.33,0.0,840.0,148.0,3339.13
22.02,221.0,9.76,0.0,436.0,149.0,2330.47
21.2,384.0,9.21,0.0,920.0,150.0,2923.91
