Temp,Occupants,Hours,Weekend,temp_squared,occupancy_hours,sin_day,cos_day,EnergyConsumption
16.66,263.0,8.88,0.0,277.63,2334.46,0.02,1.0,1893.41
14.93,457.0,8.15,0.0,222.89,3723.13,0.03,1.0,2975.86
17.46,320.0,8.43,0.0,304.83,2698.27,0.05,1.0,2404.5
20.26,497.0,9.36,0.0,410.35,4649.65,0.07,1.0,3172.02
15.16,253.0,11.21,0.0,229.74,2836.22,0.09,1.0,2618.53
15.33,44.0,3.74,1.0,234.97,164.77,0.1,0.99,1275.51
20.94,14.0,0.21,1.0,438.47,2.91,0.12,0.99,847.37
18.68,442.0,9.17,0.0,348.76,4054.89,0.14,0.99,2396.17
15.13,217.0,11.73,0.0,229.06,2544.76,0.15,0.99,2448.81
18.34,386.0,9.59,0.0,336.38,3700.99,0.17,0.99,2914.82
15.49,343.0,8.35,0.0,240.0,2863.49,0.19,0.98,2593.04
15.65,461.0,10.47,0.0,245.04,4825.87,0.21,0.98,3754.76
17.95,18.0,1.36,1.0,322.03,24.44,0.22,0.98,1351.0
11.65,2.0,3.26,1.0,135.65,6.52,0.24,0.97,1249.17
12.38,275.0,10.03,0.0,153.23,2758.15,0.26,0.97,2314.17
16.03,387.0,11.5,0.0,257.05,4449.3,0.27,0.96,3450.8
14.85,445.0,9.97,0.0,220.41,4438.51,0.29,0.96,3783.34
18.99,329.0,10.81,0.0,360.69,3556.17,0.3,0.95,3235.57
15.49,482.0,11.97,0.0,239.9,5770.15,0.32,0.95,3967.14
14.14,42.0,2.57,1.0,199.89,108.12,0.34,0.94,1530.47
22.93,31.0,2.11,1.0,525.95,65.27,0.35,0.94,832.11
18.02,462.0,9.58,0.0,324.72,4425.18,0.37,0.93,3039.33
19.06,390.0,9.69,0.0,363.25,3778.05,0.39,0.92,3145.35
14.74,262.0,9.64,0.0,217.29,2526.75,0.4,0.92,2417.92
17.54,211.0,11.63,0.0,307.61,2454.02,0.42,0.91,2337.41
19.66,340.0,10.86,0.0,386.54,3691.08,0.43,0.9,2564.96
16.03,8.0,3.49,1.0,256.94,27.9,0.45,0.89,1437.78
20.76,27.0,0.88,1.0,431.09,23.68,0.46,0.89,729.46
17.99,216.0,11.3,0.0,323.48,2439.75,0.48,0.88,1977.69
19.06,262.0,11.82,0.0,363.39,3096.9,0.49,0.87,2466.81
18.28,452.0,11.28,0.0,334.22,5100.73,0.51,0.86,3810.35
25.79,491.0,8.01,0.0,665.18,3931.07,0.52,0.85,2855.87
20.34,207.0,10.55,0.0,413.7,2182.94,0.54,0.84,2305.97
17.35,35.0,1.99,1.0,301.06,69.75,0.55,0.83,1089.96
23.13,7.0,2.22,1.0,535.21,15.55,0.57,0.82,720.79
17.15,491.0,8.24,0.0,293.97,4044.91,0.58,0.81,3056.15
21.57,483.0,10.42,0.0,465.43,5030.53,0.59,0.8,3501.54
15.21,317.0,10.75,0.0,231.22,3406.6,0.61,0.79,3222.25
17.24,374.0,8.46,0.0,297.08,3163.27,0.62,0.78,2875.32
21.94,275.0,9.54,0.0,481.58,2622.22,0.64,0.77,2628.27
23.7,31.0,0.8,1.0,561.77,24.74,0.65,0.76,972.2
22.13,16.0,2.72,1.0,489.76,43.53,0.66,0.75,692.48
21.4,469.0,8.48,0.0,457.85,3979.04,0.67,0.74,2882.77
20.97,270.0,9.68,0.0,439.62,2612.46,0.69,0.73,2485.07
17.56,379.0,11.0,0.0,308.32,4170.79,0.7,0.71,2957.16
19.96,323.0,8.28,0.0,398.28,2675.74,0.71,0.7,2476.36
20.85,492.0,8.32,0.0,434.91,4093.79,0.72,0.69,3191.95
25.53,6.0,2.91,1.0,651.55,17.45,0.74,0.68,1365.8
23.5,27.0,2.97,1.0,552.28,80.21,0.75,0.66,766.58
17.29,427.0,10.67,0.0,299.08,4557.92,0.76,0.65,2646.71
23.67,474.0,10.71,0.0,560.1,5078.76,0.77,0.64,3818.52
21.65,305.0,9.45,0.0,468.62,2881.54,0.78,0.63,2584.07
20.88,220.0,10.37,0.0,435.92,2282.42,0.79,0.61,1974.27
24.85,263.0,8.04,0.0,617.45,2114.66,0.8,0.6,1688.28
26.21,15.0,3.47,1.0,686.88,52.02,0.81,0.58,1196.16
26.01,22.0,2.31,1.0,676.45,50.92,0.82,0.57,881.89
20.79,484.0,10.45,0.0,432.39,5057.94,0.83,0.56,3254.39
22.48,347.0,11.49,0.0,505.29,3988.69,0.84,0.54,3444.98
24.49,480.0,10.9,0.0,599.86,5230.03,0.85,0.53,3958.45
26.51,363.0,8.48,0.0,703.01,3079.05,0.86,0.51,3191.36
22.24,423.0,11.61,0.0,494.49,4910.95,0.87,0.5,3423.23
23.2,41.0,1.69,1.0,538.33,69.16,0.88,0.48,1347.03
20.52,36.0,1.11,1.0,421.14,39.86,0.88,0.47,641.74
20.33,229.0,8.57,0.0,413.36,1962.2,0.89,0.45,1719.7
26.43,244.0,8.05,0.0,698.75,1963.43,0.9,0.44,1934.35
28.14,474.0,9.69,0.0,791.8,4592.18,0.91,0.42,3469.33
23.93,233.0,9.18,0.0,572.42,2138.98,0.91,0.41,2352.07
27.22,340.0,9.94,0.0,740.95,3380.96,0.92,0.39,2913.26
25.36,10.0,2.93,1.0,643.15,29.32,0.93,0.37,1305.11
22.4,15.0,0.53,1.0,501.89,7.89,0.93,0.36,1160.9
25.48,379.0,8.49,0.0,649.37,3218.47,0.94,0.34,2353.78
29.07,430.0,10.23,0.0,845.07,4400.86,0.95,0.33,3259.02
24.4,237.0,9.37,0.0,595.51,2221.32,0.95,0.31,2437.15
29.26,269.0,10.92,0.0,855.93,2936.59,0.96,0.29,2555.26
16.75,315.0,10.61,0.0,280.63,3341.89,0.96,0.28,3093.32
27.12,29.0,0.72,1.0,735.66,20.99,0.97,0.26,1204.41
24.96,29.0,3.42,1.0,623.09,99.11,0.97,0.24,833.03
23.84,208.0,9.72,0.0,568.54,2021.7,0.97,0.23,1729.64
25.05,487.0,10.69,0.0,627.69,5206.94,0.98,0.21,3692.4
18.85,249.0,9.1,0.0,355.34,2266.28,0.98,0.19,2449.34
24.19,204.0,9.23,0.0,584.95,1881.95,0.98,0.18,1949.72
25.94,325.0,11.16,0.0,673.13,3625.68,0.99,0.16,3109.48
29.33,15.0,1.44,1.0,860.43,21.55,0.99,0.14,1187.71
23.37,16.0,2.37,1.0,546.04,37.95,0.99,0.12,891.43
22.52,477.0,11.29,0.0,507.0,5385.18,0.99,0.11,3567.75
23.45,499.0,11.43,0.0,550.09,5703.69,1.0,0.09,3906.0
27.72,489.0,11.67,0.0,768.37,5704.94,1.0,0.07,4436.16
25.97,276.0,9.72,0.0,674.47,2683.81,1.0,0.06,2695.72
23.4,497.0,9.28,0.0,547.71,4609.91,1.0,0.04,3604.02
26.54,22.0,1.3,1.0,704.24,28.62,1.0,0.02,1217.48
25.29,17.0,3.09,1.0,639.64,52.6,1.0,0.0,1029.67
27.91,294.0,10.4,0.0,778.69,3058.86,1.0,-0.01,2567.62
22.89,334.0,10.82,0.0,523.92,3614.66,1.0,-0.03,3018.83
24.01,267.0,10.75,0.0,576.28,2871.22,1.0,-0.05,2661.17
23.8,346.0,9.5,0.0,566.58,3286.38,1.0,-0.06,2741.11
20.58,358.0,8.67,0.0,423.37,3102.94,1.0,-0.08,2624.9
